   	-> LOADING ARTICLES... <- 20230209_151103
   	-> ARTICLES LOADED... <- 20230209_151252
   	-> SENDING ARTICLES TO SAGE X3 <- 20230209_151304
Checking connection to SAGE X3... 20230209_151304
1 Art OK : 20230209_151421
1 Art OK : 20230209_151421
1 Art OK : 20230209_151422
1 Art OK : 20230209_151422
1 Art OK : 20230209_151422
1 Art OK : 20230209_151423
1 Art OK : 20230209_151423
1 Art OK : 20230209_151423
1 Art OK : 20230209_151424
1 Art OK : 20230209_151424
1 Art OK : 20230209_151424
1 Art OK : 20230209_151425
1 Art OK : 20230209_151425
1 Art OK : 20230209_151426
1 Art OK : 20230209_151426
1 Art OK : 20230209_151426
1 Art OK : 20230209_151427
1 Art OK : 20230209_151427
1 Art OK : 20230209_151427
1 Art OK : 20230209_151428
1 Art OK : 20230209_151428
1 Art OK : 20230209_151428
1 Art OK : 20230209_151429
1 Art OK : 20230209_151429
1 Art OK : 20230209_151429
1 Art OK : 20230209_151430
1 Art OK : 20230209_151430
1 Art OK : 20230209_151431
1 Art OK : 20230209_151431
1 Art OK : 20230209_151431
1 Art OK : 20230209_151432
1 Art OK : 20230209_151432
1 Art OK : 20230209_151432
1 Art OK : 20230209_151433
1 Art OK : 20230209_151433
Error X3 : Format incorrect : 20230209_151433
Error X3 : Erreur zone [M:ITM0]ITMREF : 20230209_151433
Error X3 : Vérifiez les coefficients rattachés à cette unité ! : 20230209_151433
Error X3 : Attention, la modification de l'unité d'achat ou du coefficient ne doit se faire que si aucun document actif ne l'utilise ! : 20230209_151433
Error X3 : Format incorrect : 20230209_151433
Error X3 : Erreur zone [M:ITM0]ITMREF : 20230209_151433
Error X3 : Vérifiez les coefficients rattachés à cette unité ! : 20230209_151433
Error X3 : Attention, la modification de l'unité d'achat ou du coefficient ne doit se faire que si aucun document actif ne l'utilise ! : 20230209_151433
Error X3 : Format incorrect : 20230209_151434
Error X3 : Erreur zone [M:ITM0]ITMREF : 20230209_151434
Error X3 : Vérifiez les coefficients rattachés à cette unité ! : 20230209_151434
Error X3 : Attention, la modification de l'unité d'achat ou du coefficient ne doit se faire que si aucun document actif ne l'utilise ! : 20230209_151434
Error X3 : Format incorrect : 20230209_151434
Error X3 : Erreur zone [M:ITM0]ITMREF : 20230209_151434
Error X3 : Vérifiez les coefficients rattachés à cette unité ! : 20230209_151434
Error X3 : Attention, la modification de l'unité d'achat ou du coefficient ne doit se faire que si aucun document actif ne l'utilise ! : 20230209_151434
1 Art OK : 20230209_151434
1 Art OK : 20230209_151434
1 Art OK : 20230209_151435
1 Art OK : 20230209_151435
1 Art OK : 20230209_151435
1 Art OK : 20230209_151436
1 Art OK : 20230209_151436
1 Art OK : 20230209_151436
1 Art OK : 20230209_151437
1 Art OK : 20230209_151437
1 Art OK : 20230209_151437
1 Art OK : 20230209_151438
1 Art OK : 20230209_151438
1 Art OK : 20230209_151438
1 Art OK : 20230209_151439
1 Art OK : 20230209_151439
1 Art OK : 20230209_151439
1 Art OK : 20230209_151440
1 Art OK : 20230209_151440
1 Art OK : 20230209_151440
1 Art OK : 20230209_151441
1 Art OK : 20230209_151441
1 Art OK : 20230209_151442
1 Art OK : 20230209_151442
1 Art OK : 20230209_151442
1 Art OK : 20230209_151443
1 Art OK : 20230209_151443
1 Art OK : 20230209_151443
1 Art OK : 20230209_151444
1 Art OK : 20230209_151444
1 Art OK : 20230209_151444
1 Art OK : 20230209_151445
1 Art OK : 20230209_151445
1 Art OK : 20230209_151445
1 Art OK : 20230209_151446
1 Art OK : 20230209_151446
1 Art OK : 20230209_151446
1 Art OK : 20230209_151447
1 Art OK : 20230209_151447
1 Art OK : 20230209_151447
1 Art OK : 20230209_151448
1 Art OK : 20230209_151448
1 Art OK : 20230209_151448
1 Art OK : 20230209_151448
